lat,lon,timezone,timezone_offset,data
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487343600, 'sunrise': 1487314338, 'sunset': 1487350609, 'temp': 280.42, 'feels_like': 277.8, 'pressure': 1026, 'humidity': 88, 'dew_point': 278.57, 'clouds': 100, 'visibility': 10000, 'wind_speed': 4, 'wind_deg': 310, 'wind_gust': 9, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487430000, 'sunrise': 1487400616, 'sunset': 1487437122, 'temp': 281.61, 'feels_like': 279.26, 'pressure': 1025, 'humidity': 78, 'dew_point': 278, 'clouds': 0, 'visibility': 6000, 'wind_speed': 4, 'wind_deg': 190, 'wind_gust': 6, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487516400, 'sunrise': 1487486893, 'sunset': 1487523635, 'temp': 281.24, 'feels_like': 277.97, 'pressure': 1020, 'humidity': 82, 'dew_point': 278.36, 'clouds': 100, 'visibility': 10000, 'wind_speed': 6, 'wind_deg': 280, 'wind_gust': 9, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487602800, 'sunrise': 1487573168, 'sunset': 1487610147, 'temp': 282.7, 'feels_like': 279.24, 'pressure': 1013, 'humidity': 92, 'dew_point': 281.47, 'clouds': 100, 'visibility': 8000, 'wind_speed': 8, 'wind_deg': 250, 'wind_gust': 13, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487689200, 'sunrise': 1487659443, 'sunset': 1487696660, 'temp': 282.02, 'feels_like': 278.96, 'pressure': 1014, 'humidity': 72, 'dew_point': 277.25, 'clouds': 0, 'visibility': 10000, 'wind_speed': 6, 'wind_deg': 260, 'wind_gust': 9, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487775600, 'sunrise': 1487745716, 'sunset': 1487783172, 'temp': 281.02, 'feels_like': 278.08, 'pressure': 1004, 'humidity': 95, 'dew_point': 280.27, 'clouds': 40, 'visibility': 6000, 'wind_speed': 5, 'wind_deg': 250, 'wind_gust': 13, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'rain': {'1h': 1.02}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487862000, 'sunrise': 1487831988, 'sunset': 1487869684, 'temp': 281.9, 'feels_like': 276.39, 'pressure': 985, 'humidity': 66, 'dew_point': 275.91, 'clouds': 100, 'visibility': 10000, 'wind_speed': 17.49, 'wind_deg': 230, 'wind_gust': 24.69, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.31}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487948400, 'sunrise': 1487918260, 'sunset': 1487956195, 'temp': 279.64, 'feels_like': 275.94, 'pressure': 1015, 'humidity': 67, 'dew_point': 273.96, 'clouds': 20, 'visibility': 10000, 'wind_speed': 6, 'wind_deg': 300, 'wind_gust': 10, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488034800, 'sunrise': 1488004530, 'sunset': 1488042706, 'temp': 280.51, 'feels_like': 275.8, 'pressure': 1013, 'humidity': 72, 'dew_point': 275.8, 'clouds': 100, 'visibility': 10000, 'wind_speed': 10.29, 'wind_deg': 210, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488121200, 'sunrise': 1488090799, 'sunset': 1488129217, 'temp': 282.34, 'feels_like': 279.05, 'pressure': 1007, 'humidity': 93, 'dew_point': 281.27, 'clouds': 100, 'visibility': 10000, 'wind_speed': 7, 'wind_deg': 190, 'wind_gust': 12, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488207600, 'sunrise': 1488177068, 'sunset': 1488215727, 'temp': 281.61, 'feels_like': 277.82, 'pressure': 988, 'humidity': 91, 'dew_point': 280.23, 'clouds': 40, 'visibility': 10000, 'wind_speed': 8, 'wind_deg': 150, 'wind_gust': 13, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.42}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488294000, 'sunrise': 1488263335, 'sunset': 1488302237, 'temp': 278.24, 'feels_like': 273.53, 'pressure': 988, 'humidity': 80, 'dew_point': 275.08, 'clouds': 75, 'visibility': 10000, 'wind_speed': 7.72, 'wind_deg': 240, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.12}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488380400, 'sunrise': 1488349602, 'sunset': 1488388747, 'temp': 280.78, 'feels_like': 277.04, 'pressure': 999, 'humidity': 70, 'dew_point': 275.66, 'clouds': 100, 'visibility': 10000, 'wind_speed': 7, 'wind_deg': 220, 'wind_gust': 11, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488466800, 'sunrise': 1488435868, 'sunset': 1488475256, 'temp': 280.37, 'feels_like': 275.93, 'pressure': 1009, 'humidity': 79, 'dew_point': 276.98, 'clouds': 100, 'visibility': 10000, 'wind_speed': 9, 'wind_deg': 260, 'wind_gust': 16, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.15}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488553200, 'sunrise': 1488522134, 'sunset': 1488561765, 'temp': 280.76, 'feels_like': 277.12, 'pressure': 1000, 'humidity': 80, 'dew_point': 277.54, 'clouds': 100, 'visibility': 10000, 'wind_speed': 6.69, 'wind_deg': 130, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.43}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488639600, 'sunrise': 1488608398, 'sunset': 1488648274, 'temp': 284.14, 'feels_like': 283.49, 'pressure': 991, 'humidity': 84, 'dew_point': 281.54, 'clouds': 75, 'visibility': 10000, 'wind_speed': 5, 'wind_deg': 240, 'wind_gust': 11, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1488726000, 'sunrise': 1488694662, 'sunset': 1488734782, 'temp': 280.24, 'feels_like': 276.04, 'pressure': 993, 'humidity': 88, 'dew_point': 278.39, 'clouds': 75, 'visibility': 10000, 'wind_speed': 8, 'wind_deg': 160, 'wind_gust': 15, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.58}}"
